doi,title,journal,year,cites,areas
10.1016/j.engappai.2021.104407,More intelligent and robust estimation of battery state-of-charge with an improved regularized extreme learning machine,Engineering Applications of Artificial Intelligence,2021,77,Second life
10.1016/j.isci.2022.103988,Improved sparrow search algorithm optimization deep extreme learning machine for lithium-ion battery state-of-health prediction,iScience,2022,76,Charging control;Digital twins;Health estimation (SOH);Transfer learning
10.1016/j.est.2021.102852,A novel entropy-based fault diagnosis and inconsistency evaluation approach for lithium-ion battery energy storage systems,Journal of Energy Storage,2021,76,Fault & safety
10.1016/j.jechem.2023.01.036,Deep learning-based battery state of charge estimation: Enhancing estimation performance with unlabelled training samples,Journal of Energy Chemistry,2023,76,Second life
10.1016/j.seta.2020.100752,A data-driven coulomb counting method for state of charge calibration and estimation of lithium-ion battery,Sustainable Energy Technologies and Assessments,2020,75,Thermal management
10.1016/j.est.2023.107203,Digital twin-long short-term memory (LSTM) neural network based real-time temperature prediction and degradation model analysis for lithium-ion battery,Journal of Energy Storage,2023,75,Digital twins
10.1109/access.2023.3305950,State-of-Charge Estimation Method for Lithium-Ion Batteries Using Extended Kalman Filter With Adaptive Battery Parameters,IEEE Access,2023,74,State estimation (SOC)
10.1109/access.2022.3199652,A Physics-Informed Machine Learning Approach for Estimating Lithium-Ion Battery Temperature,IEEE Access,2022,73,Cell balancing & ECM;Digital twins;Fault & safety;Physics-informed
10.1016/j.energy.2023.128782,A novel battery health indicator and PSO-LSSVR for LiFePO4 battery SOH estimation during constant current charging,Energy,2023,73,Health estimation (SOH)
10.1016/j.energy.2020.119530,A novel data-driven method for predicting the circulating capacity of lithium-ion battery under random variable current,Energy,2021,73,Thermal management
10.1016/j.est.2023.109185,State of health estimation of lithium-ion batteries using EIS measurement and transfer learning,Journal of Energy Storage,2023,73,Transfer learning
10.1016/j.jechem.2023.06.036,Lithium-ion battery degradation trajectory early prediction with synthetic dataset and deep learning,Journal of Energy Chemistry,2023,72,Benchmarks & data
10.1155/2022/9616124,Hybrid Methods Using Neural Network and Kalman Filter for the State of Charge Estimation of Lithium-Ion Battery,Mathematical Problems in Engineering,2022,72,State estimation (SOC)
10.1109/jestpe.2021.3098836,State of Health Estimation of Lithium-Ion Battery Based on Constant-Voltage Charging Reconstruction,IEEE Journal of Emerging and Selected Topics in Power Electronics,2023,72,Health estimation (SOH)
10.1038/s41598-023-33018-0,A framework for Li-ion battery prognosis based on hybrid Bayesian physics-informed neural networks,Scientific Reports,2023,71,Physics-informed
