doi,title,journal,year,cites,areas
10.1007/s00521-023-08471-7,State-of-health estimation of Lithium-ion battery based on back-propagation neural network with adaptive hidden layer,Neural Computing and Applications,2023,20,Physics-informed
10.3390/batteries9080413,Predicting the Cycle Life of Lithium-Ion Batteries Using Data-Driven Machine Learning Based on Discharge Voltage Curves,Batteries,2023,20,Prognostics (RUL)
10.1007/s11581-023-05204-7,An accurate denoising lithium-ion battery remaining useful life prediction model based on CNN and LSTM with self-attention,Ionics,2023,20,Prognostics (RUL)
10.1016/j.jpowsour.2025.238036,Multi-task neural network combined with adaptive dual Kalman filter for joint estimation of battery state-of-charge and state-of-health,Journal of Power Sources,2025,20,State estimation (SOC)
10.1016/j.energy.2025.135772,Lithium-ion battery health state estimation based on improved snow ablation optimization algorithm-deep hybrid kernel extreme learning machine,Energy,2025,20,Health estimation (SOH)
10.26599/nre.2024.9120147,Transfer learning prediction on lithium-ion battery heat release under thermal runaway condition,Nano Research Energy,2024,20,Thermal management
10.3389/fenrg.2023.1114263,Design and optimization of lithium-ion battery protector with auxetic honeycomb for in-plane impact using machine learning method,Frontiers in Energy Research,2023,19,Cell balancing & ECM;Charging control;Digital twins
10.1109/lcsys.2020.3046378,Offline Multiobjective Optimization for Fast Charging and Reduced Degradation in Lithium-Ion Battery Cells Using Electrochemical Dynamics,IEEE Control Systems Letters,2021,19,Charging control
10.1109/tte.2022.3192174,Lithium-Ion Battery Optimal Charging Using Moth-Flame Optimization Algorithm and Fractional-Order Model,IEEE Transactions on Transportation Electrification,2023,19,Charging control
10.1002/aenm.202503067,Interpretable Machine Learning for Battery Prognosis: Retrospect and Prospect,Advanced Energy Materials,2025,19,Interpretability
10.1016/j.est.2023.106697,Wavelet attention-powered neural network framework with hierarchical dynamic frequency learning for lithium-ion battery state of health prediction,Journal of Energy Storage,2023,19,Physics-informed;Transfer learning
10.1016/j.csite.2024.105207,Structural optimization and battery temperature prediction of battery thermal management system based on machine learning,Case Studies in Thermal Engineering,2024,19,Cross-cutting
10.1002/eom2.12345,Feature–target pairing in machine learning for battery health diagnosis and prognosis: A critical review,EcoMat,2023,19,Cross-cutting
10.3390/app13084896,Battery-Free Pork Freshness Estimation Based on Colorimetric Sensors and Machine Learning,Applied Sciences,2023,19,Second life
10.3390/wevj14010008,State of Charge Estimation for Power Battery Base on Improved Particle Filter,World Electric Vehicle Journal,2022,19,State estimation (SOC)
10.3390/batteries9070362,Combined State of Charge and State of Energy Estimation for Echelon-Use Lithium-Ion Battery Based on Adaptive Extended Kalman Filter,Batteries,2023,19,State estimation (SOC)
10.1016/j.energy.2023.128445,Lithium-ion battery state of health estimation based on multi-source health indicators extraction and sparse Bayesian learning,Energy,2023,19,Health estimation (SOH);Transfer learning
10.3389/fenrg.2022.1032660,An improved deep extreme learning machine to predict the remaining useful life of lithium-ion battery,Frontiers in Energy Research,2022,18,Cell balancing & ECM;Digital twins;Fault & safety;Prognostics (RUL)
10.1016/j.energy.2023.127233,Optimization on charging of the direct hybrid lithium-ion battery and supercapacitor for high power application through resistance balancing,Energy,2023,18,Cell balancing & ECM;Charging control
10.1016/j.etran.2025.100418,A multi-scenario data-driven approach for anomaly detection in electric vehicle battery systems,eTransportation,2025,18,Fault & safety
10.1002/ange.202214037,Untangling Degradation Chemistries of Lithium‐Sulfur Batteries Through Interpretable Hybrid Machine Learning,Angewandte Chemie,2022,18,Interpretability
10.1016/j.egyr.2022.05.127,Long-short term memory neural network based life prediction of lithium-ion battery considering internal parameters,Energy Reports,2022,18,Physics-informed
10.3390/s23052587,Prediction of State of Health of Lithium-Ion Battery Using Health Index Informed Attention Model,Sensors,2023,18,Health estimation (SOH);Physics-informed;Transfer learning
10.1016/j.procs.2023.01.006,Energy efficient machine learning based SMART-A-BLE implemented Wireless Battery Management System for both Hybrid Electric Vehicles and Battery Electric Vehicles,Procedia Computer Science,2023,18,Cross-cutting;Thermal management
10.3390/batteries8100192,Development of a Data-Driven Method for Online Battery Remaining-Useful-Life Prediction,Batteries,2022,18,Prognostics (RUL)
10.3390/app14146240,Tiny Machine Learning Battery State-of-Charge Estimation Hardware Accelerated,Applied Sciences,2024,18,Second life
10.1016/j.est.2025.118989,Intelligent domain-generalized second-life EV battery state-of-health estimation,Journal of Energy Storage,2025,18,Second life
10.1016/j.ifacol.2023.12.050,Machine Learning-based Electric Vehicle Battery State of Charge Prediction and Driving Range Estimation for Rural Applications,IFAC-PapersOnLine,2023,18,Second life;Thermal management
10.1016/j.fraope.2023.100053,Enhancing battery state of charge estimation through hybrid integration of barnacles mating optimizer with deep learning,Franklin Open,2023,18,Second life
10.1080/15435075.2022.2136001,A state of health estimation method of lithium-ion batteries based on DT-IC-V health features extracted from partial charging segment,International Journal of Green Energy,2022,18,Health estimation (SOH)
10.3390/batteries8100134,State of Health Trajectory Prediction Based on Multi-Output Gaussian Process Regression for Lithium-Ion Battery,Batteries,2022,18,Health estimation (SOH)
10.1007/s10008-023-05650-3,Multi-kernel support vector regression optimization model and indirect health factor extraction strategy for the accurate lithium-ion battery remaining useful life prediction,Journal of Solid State Electrochemistry,2023,18,Health estimation (SOH)
10.1016/j.est.2025.117601,Lithium-ion battery state-of-health estimation using intra-domain and cross-domain transfer learning: mitigating domain shift based on Wasserstein distance,Journal of Energy Storage,2025,18,Transfer learning
10.3390/batteries9050280,Transfer Learning Based on Transferability Measures for State of Health Prediction of Lithium-Ion Batteries,Batteries,2023,18,Transfer learning
10.3390/batteries9020129,Data-Driven Battery Aging Mechanism Analysis and Degradation Pathway Prediction,Batteries,2023,17,Interpretability
10.1002/advs.202402608,Data‐Driven Cycle Life Prediction of Lithium Metal‐Based Rechargeable Battery Based on Discharge/Charge Capacity and Relaxation Features,Advanced Science,2024,17,Prognostics (RUL)
10.3390/pr10112185,Deep Learning with Spatial Attention-Based CONV-LSTM for SOC Estimation of Lithium-Ion Batteries,Processes,2022,17,State estimation (SOC)
10.3390/en15249654,Accurate State of Charge Estimation for Real-World Battery Systems Using a Novel Grid Search and Cross Validated Optimised LSTM Neural Network,Energies,2022,17,State estimation (SOC)
10.3390/batteries10060198,State-of-Charge Estimation of Lithium-Ion Battery Based on Convolutional Neural Network Combined with Unscented Kalman Filter,Batteries,2024,17,State estimation (SOC)
10.1063/5.0139376,State of charge estimation for lithium-ion battery based on whale optimization algorithm and multi-kernel relevance vector machine,The Journal of Chemical Physics,2023,17,State estimation (SOC)
10.3390/batteries10090324,State of Health Estimation for Lithium-Ion Battery Using Partial Incremental Capacity Curve and Transfer Learning,Batteries,2024,17,Health estimation (SOH);Transfer learning
10.23919/ien.2023.0034,Estimating battery state of health with 10-min relaxation voltage across various charging states of charge,iEnergy,2023,17,Health estimation (SOH)
10.1115/1.4050798,Human-Knowledge-Augmented Gaussian Process Regression for State-of-Health Prediction of Lithium-Ion Batteries With Charging Curves,Journal of Electrochemical Energy Conversion and Storage,2021,17,Health estimation (SOH)
10.1016/j.engappai.2024.109314,A weighted Gaussian process regression model based on improved local outlier factor and its application in state of health estimation of lithium-ion battery,Engineering Applications of Artificial Intelligence,2024,17,Health estimation (SOH)
10.1016/j.fub.2025.100033,Data-driven state of health and state of safety estimation for alternative battery chemistries — A comparative review focusing on sodium-ion and LFP lithium-ion batteries,Future Batteries,2025,17,Thermal management
10.3390/drones9040247,A Multi-Timescale Method for State of Charge Estimation for Lithium-Ion Batteries in Electric UAVs Based on Battery Model and Data-Driven Fusion,Drones,2025,17,Thermal management
10.1016/j.applthermaleng.2023.120206,Online temperature distribution estimation of lithium-ion battery considering non-uniform heat generation characteristics under boundary cooling,Applied Thermal Engineering,2023,17,Thermal management
10.1115/1.4052197,Optimization of Thermal Management in Modern Electric Vehicle Battery Cells Employing Genetic Algorithm,Journal of Heat Transfer,2021,17,Thermal management
10.3390/batteries10110390,Thermal Runaway Warning of Lithium Battery Based on Electronic Nose and Machine Learning Algorithms,Batteries,2024,17,Thermal management
10.1016/j.ifacol.2021.10.186,An Improved Particle Filter Method to Estimate State of Health of Lithium-Ion Battery,IFAC-PapersOnLine,2021,17,Transfer learning
10.3390/en16093815,State-of-Health Prediction of Lithium-Ion Batteries Based on Diffusion Model with Transfer Learning,Energies,2023,17,Transfer learning
10.3390/electronics12245038,Electrochemical Impedance Spectrum Equivalent Circuit Parameter Identification Using a Deep Learning Technique,Electronics,2023,16,Other
10.3390/s24175628,Energy-Efficient Anomaly Detection and Chaoticity in Electric Vehicle Driving Behavior,Sensors,2024,16,Fault & safety
10.1016/j.prime.2023.100362,An extended Kalman-Bucy filter for state of charge estimation of 2-RC network modelled Li-ion battery,"e-Prime - Advances in Electrical Engineering, Electronics and Energy",2023,16,State estimation (SOC)
10.3390/batteries9100517,A Novel Battery State of Charge Estimation Based on Voltage Relaxation Curve,Batteries,2023,16,Health estimation (SOH)
10.3390/su151511822,Optimizing Thermal Management System in Electric Vehicle Battery Packs for Sustainable Transportation,Sustainability,2023,16,Thermal management
10.3390/en16135172,Experimental Investigation of the Thermal Runaway Propagation Characteristics and Thermal Failure Prediction Parameters of Six-Cell Lithium-Ion Battery Modules,Energies,2023,16,Thermal management
10.1049/itr2.12064,Ensemble machine learning based driving range estimation for real‐world electric city buses by considering battery degradation levels,IET Intelligent Transport Systems,2021,15,Benchmarks & data
10.1016/j.est.2024.111755,A fast balance optimization approach for charging enhancement of lithium-ion battery packs through deep reinforcement learning,Journal of Energy Storage,2024,15,Charging control
10.1016/j.est.2024.112046,Optimization charging method of lithium-ion battery based on multi-objective BBO algorithm,Journal of Energy Storage,2024,15,Charging control
10.1016/j.measurement.2025.118985,Lithium-ion battery state estimation based on adaptive physics-informed neural network of electrochemical model,Measurement,2026,15,Physics-informed
10.1007/s11814-023-1476-1,Feature construction for on-board early prediction of electric vehicle battery cycle life,Korean Journal of Chemical Engineering,2023,15,Prognostics (RUL)
10.1016/j.fub.2025.100099,A standardized comparative framework for machine learning techniques in lithium-ion battery state of health estimation,Future Batteries,2025,15,Health estimation (SOH);Second life;State estimation (SOC)
10.1016/j.electacta.2025.147577,A deep learning method based on transfer learning and noise-resistant hybrid neural network for lithium-ion battery state of health and state of charge estimation,Electrochimica Acta,2025,15,State estimation (SOC);Transfer learning
10.3390/batteries8110209,Reducing the Computational Cost for Artificial Intelligence-Based Battery State-of-Health Estimation in Charging Events,Batteries,2022,15,Health estimation (SOH)
10.3390/en15197038,Fast Charging Optimization for Lithium-Ion Batteries Based on Improved Electro-Thermal Coupling Model,Energies,2022,14,Charging control
10.1109/tte.2024.3462769,MPC-Guided Deep Reinforcement Learning for Optimal Charging of Lithium-Ion Battery With Uncertainty,IEEE Transactions on Transportation Electrification,2025,14,Charging control
10.1016/j.est.2023.109497,A data-driven equivalent circuit model’s parameter estimation method applied to Lithium-Titanate battery,Journal of Energy Storage,2023,14,Other
10.1016/j.est.2024.114267,Variational autoencoder-driven adversarial SVDD for power battery anomaly detection on real industrial data,Journal of Energy Storage,2024,14,Fault & safety
10.1016/j.jechem.2025.04.025,Deep learning-driven detection of lithium-plating-type defects for battery manufacturing via formation and capacity grading data,Journal of Energy Chemistry,2025,14,Fault & safety
10.1016/j.energy.2025.139753,Physical informed neural network for SOH estimation of lithium-ion battery with electrochemical mechanism,Energy,2026,14,Physics-informed
10.1108/ijicc-09-2020-0131,Remaining useful life prediction of lithium-ion battery based on auto-regression and particle filter,International Journal of Intelligent Computing and Cybernetics,2021,14,Prognostics (RUL)
10.3390/en16052313,State of Health Estimation and Remaining Useful Life Prediction for a Lithium-Ion Battery with a Two-Layer Stacking Regressor,Energies,2023,14,Prognostics (RUL)
10.1002/er.8514,A beetle antennae search optimized recurrent extreme learning machine for battery state of charge estimation,International Journal of Energy Research,2022,14,Second life
10.1002/est2.658,A study of different machine learning algorithms for state of charge estimation in lithium‐ion battery pack,Energy Storage,2024,14,Health estimation (SOH);State estimation (SOC)
10.3390/electronics12214433,Estimation of Lithium-Ion Battery State of Charge Based on Genetic Algorithm Support Vector Regression under Multiple Temperatures,Electronics,2023,14,Health estimation (SOH);State estimation (SOC)
10.1177/01423312221128526,A new state of charge estimation technique of lithium-ion battery using adaptive extended Kalman filter and artificial neural network,Transactions of the Institute of Measurement and Control,2022,14,State estimation (SOC)
10.3390/ma15175933,A Dual-Input Neural Network for Online State-of-Charge Estimation of the Lithium-Ion Battery throughout Its Lifetime,Materials,2022,14,State estimation (SOC)
10.1016/j.jpowsour.2025.236235,An estimation framework for battery pack state of health based on real vehicle charging and discharging features,Journal of Power Sources,2025,14,Health estimation (SOH)
10.1002/ente.202200151,State‐of‐Health Estimation of Lithium‐Ion Batteries Based on Thermal Characteristics Mining and Multi‐Gaussian Process Regression Strategy,Energy Technology,2022,14,Health estimation (SOH)
10.1002/est2.70262,Quantum Neural Network and Gaussian Process Framework for Lithium Battery State of Health Prediction,Energy Storage,2025,14,Health estimation (SOH)
10.1115/1.4064026,Data-Driven Discovery of Lithium-Ion Battery State of Charge Dynamics,"Journal of Dynamic Systems, Measurement, and Control",2023,14,Thermal management
10.3390/en15051619,Electric Vehicle Battery Storage Concentric Intelligent Home Energy Management System Using Real Life Data Sets,Energies,2022,13,Cloud & fleet
10.3390/batteries9060294,A Plating-Free Charging Scheme for Battery Module Based on Anode Potential Estimation to Prevent Lithium Plating,Batteries,2023,13,Fault & safety
10.3390/en16052155,State of Charge Estimation of Lithium Battery Based on Integrated Kalman Filter Framework and Machine Learning Algorithm,Energies,2023,13,Fault & safety;Health estimation (SOH);Second life;State estimation (SOC)
10.3390/batteries9070364,Model-Based State-of-Charge and State-of-Health Estimation Algorithms Utilizing a New Free Lithium-Ion Battery Cell Dataset for Benchmarking Purposes,Batteries,2023,13,Health estimation (SOH);State estimation (SOC);Transfer learning
10.3390/pr13113559,State of Charge Estimation for Lithium-Ion Batteries: An Online Method Combining Deep Neural Network and Adaptive Kalman Filter,Processes,2025,13,State estimation (SOC)
10.1016/j.energy.2025.138070,Rapid battery pack state of health estimation for electric vehicles considering polarization features in multi-stage charging,Energy,2025,13,Health estimation (SOH)
10.1016/j.est.2022.105908,Dual particle swarm optimization based data-driven state of health estimation method for lithium-ion battery,Journal of Energy Storage,2022,13,Thermal management
10.3390/wevj14080202,Li-Ion Battery State of Charge Prediction for Electric Vehicles Based on Improved Regularized Extreme Learning Machine,World Electric Vehicle Journal,2023,13,Thermal management
10.1016/j.est.2025.119450,A CNN-LSTM hybrid network with transfer learning for accurate lithium-ion battery state of health estimation,Journal of Energy Storage,2026,13,Transfer learning
10.1016/j.est.2022.104679,Multistage fast charging optimization protocol for lithium-ion batteries based on the biogeography-based algorithm,Journal of Energy Storage,2022,12,Charging control
10.1016/j.etran.2025.100460,Enhancing fast-charging protocols with section-based Bayesian optimization for lithium-ion batteries to prevent Li-plating,eTransportation,2025,12,Charging control
10.1016/j.fub.2025.100088,Prediction of the SOH and cycle life of fast-charging lithium-ion batteries based on a machine learning framework,Future Batteries,2025,12,Charging control
10.1109/jsen.2025.3585543,Generative-Enhanced Physics-Informed Neural Network for Lithium-Ion Battery State of Health Estimation,IEEE Sensors Journal,2025,12,Physics-informed
10.1109/access.2020.2987426,Simulator Assessment Theory for Remaining Useful Life Prediction of Lithium-Ion Battery Under Multiple Uncertainties,IEEE Access,2020,12,Prognostics (RUL)
10.1016/j.est.2025.118415,Remaining useful life prediction for lithium-ion battery based on hybrid machine learning with Wiener process,Journal of Energy Storage,2025,12,Prognostics (RUL)
10.1007/s11227-024-06264-w,Enhancing EV lithium-ion battery management: automated machine learning for early remaining useful life prediction with innovative multi-health indicators,The Journal of Supercomputing,2024,12,Prognostics (RUL)
10.3390/en16073244,Second-Life Battery Capacity Estimation and Method Comparison,Energies,2023,12,Second life
10.3390/su122410451,A Study on State of Charge and State of Health Estimation in Consideration of Lithium-Ion Battery Aging,Sustainability,2020,12,Health estimation (SOH);State estimation (SOC);Transfer learning
10.1016/j.etran.2023.100283,Data selection framework for battery state of health related parameter estimation under system uncertainties,eTransportation,2023,12,Health estimation (SOH)
10.1007/s00521-020-05031-1,"Real-time state-of-health monitoring of lithium-ion battery with anomaly detection, Levenberg–Marquardt algorithm, and multiphase exponential regression model",Neural Computing and Applications,2020,12,Health estimation (SOH)
10.1002/est2.70111,Machine Learning for Predicting Thermal Runaway in Lithium‐Ion Batteries With External Heat and Force,Energy Storage,2025,12,Thermal management
10.3390/batteries9120585,A Novel Method for State of Health Estimation of Lithium-Ion Batteries Based on Deep Learning Neural Network and Transfer Learning,Batteries,2023,12,Transfer learning
10.1016/j.procir.2022.09.093,Potential of a machine learning based cross-process control in lithium-ion battery production,Procedia CIRP,2022,11,Cell balancing & ECM;Digital twins;Fault & safety
10.3390/en16041628,Practical Evaluation of Lithium-Ion Battery State-of-Charge Estimation Using Time-Series Machine Learning for Electric Vehicles,Energies,2023,11,Cell balancing & ECM;Digital twins;Fault & safety;Health estimation (SOH);Second life;State estimation (SOC)
10.3390/batteries11050199,Fast-Charging Optimization Method for Lithium-Ion Battery Packs Based on Deep Deterministic Policy Gradient Algorithm,Batteries,2025,11,Charging control
10.1038/s41598-025-17145-4,An intelligent fault detection (IFD) system for lithium-ion battery using machine learning approach,Scientific Reports,2025,11,Fault & safety
10.1016/j.est.2024.113100,Improvement of local outlier factor algorithms for lithium-ion battery fault diagnosis,Journal of Energy Storage,2024,11,Fault & safety
10.3390/ai6070149,Integrated Framework of LSTM and Physical-Informed Neural Network for Lithium-Ion Battery Degradation Modeling and Prediction,AI,2025,11,Graph networks
10.3390/fractalfract6110640,Sensitivity of Fractional-Order Recurrent Neural Network with Encoded Physics-Informed Battery Knowledge,Fractal and Fractional,2022,11,Physics-informed
10.1016/j.eswa.2021.116075,Remaining capacity prediction of lithium-ion battery based on the feature transformation process neural network,Expert Systems with Applications,2022,11,Physics-informed
10.1109/tpel.2025.3531791,Ultra-Early Prediction of Lithium-Ion Battery Cycle Life Based on Visualized Single-Cycle Data,IEEE Transactions on Power Electronics,2025,11,Prognostics (RUL)
10.37965/jdmd.2024.562,Industrial Battery State-of-Health Estimation with Incomplete Limited Data Towards Second-Life Applications,"Journal of Dynamics, Monitoring and Diagnostics",2024,11,Second life
10.1063/5.0162519,An estimation method for the state-of-charge of lithium-ion battery based on PSO-LSTM,AIP Advances,2023,11,State estimation (SOC)
10.1016/j.ifacol.2022.10.284,State of Charge Estimation for Lithium-ion Batteries using Extreme Learning Machine and Extended Kalman Filter,IFAC-PapersOnLine,2022,11,State estimation (SOC)
10.1016/j.procir.2022.02.076,State of health estimation of retired battery for echelon utilization based on charging curve,Procedia CIRP,2022,11,Health estimation (SOH)
10.3390/electronics12122647,An Improved LSTNet Approach for State-of-Health Estimation of Automotive Lithium-Ion Battery,Electronics,2023,11,Health estimation (SOH);Transfer learning
10.23919/chain.2024.100002,Lithium Battery Digital Twin Model with Incremental Learning,CHAIN,2024,11,Digital twins
10.55092/aias20230003,Machine learning driven digital twin model of Li-ion batteries in electric vehicles: a review,AI and Autonomous Systems,2023,11,Digital twins
10.3390/electronicmat3020017,Multi-Objective Bayesian Optimization of Lithium-Ion Battery Cells for Electric Vehicle Operational Scenarios,Electronic Materials,2022,10,Charging control
10.3390/electronics14112201,Deep Learning Approach for Equivalent Circuit Model Parameter Identification of Lithium-Ion Batteries,Electronics,2025,10,Other
10.1016/j.jpowsour.2025.237497,Capacity degradation prediction of electric vehicle battery by integrating convolutional neural network with informer model,Journal of Power Sources,2025,10,Graph networks
10.1016/j.electacta.2023.143148,Metal-solvent interaction contribution on voltage for metal ion battery: An interpretable machine learning approach,Electrochimica Acta,2023,10,Interpretability
10.3390/en15103835,Design of a Non-Linear Observer for SOC of Lithium-Ion Battery Based on Neural Network,Energies,2022,10,Physics-informed
10.1016/j.promfg.2020.02.191,Development and Utilization of a Framework for Data-Driven Life Cycle Management of Battery Cells,Procedia Manufacturing,2020,10,Prognostics (RUL)
10.3390/vehicles5020030,Intelligent Deep Learning Estimators of a Lithium-Ion Battery State of Charge Design and MATLAB Implementation—A Case Study,Vehicles,2023,10,State estimation (SOC)
10.3390/met12081369,A Novel Adaptive Back Propagation Neural Network-Unscented Kalman Filtering Algorithm for Accurate Lithium-Ion Battery State of Charge Estimation,Metals,2022,10,State estimation (SOC)
10.3390/en14092612,A Method for Battery Health Estimation Based on Charging Time Segment,Energies,2021,10,Health estimation (SOH)
10.3390/batteries9120565,State-of-Health Estimation of Lithium-Ion Battery Based on Constant Voltage Charging Duration,Batteries,2023,10,Health estimation (SOH)
10.1016/j.apenergy.2025.126458,Combining electrochemistry and data-sparse Gaussian process regression for lithium-ion battery hybrid modeling,Applied Energy,2025,10,Health estimation (SOH)
10.1016/j.energy.2023.129364,Predicting the discharge capacity of a lithium-ion battery after nail puncture using a Gaussian process regression with incremental capacity analysis,Energy,2023,10,Health estimation (SOH)
10.1002/adts.202100602,Iterative Dynamic Programming Strategy for Electric Vehicle Battery Thermal Management Optimization,Advanced Theory and Simulations,2022,10,Thermal management
10.3901/jme.2022.10.180,State-of-health Estimate for Lithium-ion Battery Using Information Entropy and PSO-LSTM,Journal of Mechanical Engineering,2022,10,Transfer learning
10.1002/adts.202100350,Topological Quantum Cathode Materials for Fast Charging Li‐Ion Battery Identified by Machine Learning and First Principles Calculation,Advanced Theory and Simulations,2022,9,Charging control
10.1016/j.enconman.2025.120119,Hierarchical model predictive control-based electric vehicle fleet charging management,Energy Conversion and Management,2025,9,Cloud & fleet
10.1002/est2.218,Battery remaining useful life prediction using improved mutated particle filter,Energy Storage,2020,9,Prognostics (RUL)
10.3901/jme.2021.14.141,Data-driven Comprehensive Evaluation of Lithium-ion Battery State of Health and Abnormal Battery Screening,Journal of Mechanical Engineering,2021,9,Health estimation (SOH);Thermal management;Transfer learning
10.1016/j.jclepro.2023.138583,Active equalization for lithium-ion battery pack via data-driven residual charging capacity estimation,Journal of Cleaner Production,2023,9,Thermal management
10.1088/1757-899x/782/3/032083,Health State Prediction of Lithium Ion Battery Based On Deep Learning Method,IOP Conference Series: Materials Science and Engineering,2020,9,Transfer learning
10.3390/batteries10070242,Digital Twin-Enhanced Control for Fuel Cell and Lithium-Ion Battery Hybrid Vehicles,Batteries,2024,9,Digital twins
10.1016/j.est.2020.101515,Lithium-ion whole-cell design and charging protocol optimization within safe operating conditions,Journal of Energy Storage,2020,8,Charging control
10.3390/wevj12040204,Battery Pack State of Health Prediction Based on the Electric Vehicle Management Platform Data,World Electric Vehicle Journal,2021,8,Cloud & fleet;Fault & safety
10.1016/j.est.2024.115116,Novel decomposed genetic algorithm for equivalent circuit model parameter optimization of lithium-ion battery,Journal of Energy Storage,2025,8,Other
10.1016/j.segan.2025.101704,Regression based anomaly detection in electric vehicle state of charge fluctuations through analysis of electric vehicle charging infrastructure Data,"Sustainable Energy, Grids and Networks",2025,8,Fault & safety
10.20964/2020.09.27,Lithium Plating as Limiting Phenomena for Estimating Safety during Lithium-Ion Battery Charging,International Journal of Electrochemical Science,2020,8,Fault & safety
10.1007/s11581-026-06980-8,RFO-Optimized multi-branch CNN-attention architecture for lithium-ion battery remaining useful life prediction,Ionics,2026,8,Prognostics (RUL)
10.3390/pr13010239,A Joint Prediction of the State of Health and Remaining Useful Life of Lithium-Ion Batteries Based on Gaussian Process Regression and Long Short-Term Memory,Processes,2025,8,Health estimation (SOH)
10.1149/1945-7111/ac8ee0,A Polak-Ribière-Polyak Conjugate Gradient Algorithm Optimized Broad Learning System for Lithium-ion Battery State of Health Estimation,Journal of The Electrochemical Society,2022,8,Health estimation (SOH);Transfer learning
10.1016/j.fraope.2025.100237,Lithium-ion battery state of health estimation using intelligent methods,Franklin Open,2025,8,Health estimation (SOH)
10.1016/j.est.2025.117475,A dual dimensionality reduction and feature weighting integration transfer learning method for lithium-ion battery state of health estimation,Journal of Energy Storage,2025,8,Transfer learning
10.3390/batteries9070346,A K-Value Dynamic Detection Method Based on Machine Learning for Lithium-Ion Battery Manufacturing,Batteries,2023,7,Cell balancing & ECM;Digital twins;Fault & safety
10.1007/s11581-020-03636-z,Battery space optimization to limit heat transfer in a lithium-ion battery using adaptive elephant herding optimization,Ionics,2020,7,Charging control
10.1149/1945-7111/acd8f8,Feature-Driven Closed-Loop Optimization for Battery Fast Charging Design with Machine Learning,Journal of The Electrochemical Society,2023,7,Charging control
10.3390/wevj16060312,Optimization of Solar Generation and Battery Storage for Electric Vehicle Charging with Demand-Side Management Strategies,World Electric Vehicle Journal,2025,7,Cloud & fleet
10.1016/j.est.2025.116780,Ensemble and deep learning based prediction of vanadium redox flow battery system power loss and a precision equivalent circuit model for parameter benchmarking,Journal of Energy Storage,2025,7,Other
10.1016/j.applthermaleng.2026.131409,Data-driven diffusion framework for electric vehicle battery thermal management integrating probabilistic hotspot prediction and adaptive cooling control under aging dynamics,Applied Thermal Engineering,2026,7,Fault & safety
10.1109/tte.2025.3582411,Domain Adaptation With Contrastive Learning for Lithium-Ion Battery Packs Fault Diagnosis,IEEE Transactions on Transportation Electrification,2025,7,Fault & safety
10.1115/1.4052983,A Dispatch Optimization Model for Hybrid Renewable and Battery Systems Incorporating a Battery Degradation Model,Journal of Energy Resources Technology,2021,7,Foundation models
10.1038/s41598-025-21605-2,"Smart battery management in EVs using IoT, blockchain, and machine learning",Scientific Reports,2025,7,Cross-cutting
10.3389/fenrg.2022.1058999,An open access tool for exploring machine learning model choice for battery life cycle prediction,Frontiers in Energy Research,2022,7,Prognostics (RUL)
10.3389/fenrg.2022.973487,Remaining useful cycle life prediction of lithium-ion battery based on TS fuzzy model,Frontiers in Energy Research,2022,7,Prognostics (RUL)
10.5573/ieiespc.2021.10.6.496,Study of Battery State-of-charge Estimation with kNN Machine Learning Method,IEIE Transactions on Smart Processing &amp; Computing,2021,7,Second life
10.1016/j.egyr.2022.10.367,Noise-resistant state of charge estimation of Li-ion battery using the outlier robust extreme learning machine,Energy Reports,2023,7,Second life;State estimation (SOC)
10.1002/est2.290,Estimation of lithium‐ion battery state of charge for electric vehicles using a nonlinear state observer,Energy Storage,2021,7,State estimation (SOC)
10.1080/03772063.2021.1908853,State of Health Estimation of Lithium-Ion Batteries based on the CC-CV Charging Curve and Neural Network,IETE Journal of Research,2021,7,Health estimation (SOH)
10.1109/tte.2024.3509631,Online State of Health Estimation for Lithium-Ion Battery Based on Historical Charging Data Assisted Reconstruction of Partial Charging Curve,IEEE Transactions on Transportation Electrification,2025,7,Health estimation (SOH)
10.3390/en16207066,Lithium-Ion Battery State of Health Estimation Using Simple Regression Model Based on Incremental Capacity Analysis Features,Energies,2023,7,Health estimation (SOH)
10.1016/j.nxener.2023.100013,Transferring state of health estimation neural networks for different battery chemistries and charging protocols using renormalization and transfer learning,Next Energy,2023,7,Health estimation (SOH)
10.1002/ente.202200437,Alternating Current Impedance Probing Capacity of Lithium‐Ion Battery by Gaussian Process Regression,Energy Technology,2022,7,Health estimation (SOH)
10.3390/app13053032,Predictive Energy Management Strategy for Hybrid Electric Air-Ground Vehicle Considering Battery Thermal Dynamics,Applied Sciences,2023,7,Thermal management
10.36001/phme.2022.v7i1.3312,State of Health Forecasting of Heterogeneous Lithium-ion Battery Types and Operation Enabled by Transfer Learning,PHM Society European Conference,2022,7,Transfer learning
10.1088/1742-6596/2492/1/012026,A RUL Prediction Method of Lithium-ion Battery Based on Extreme Learning Machine,Journal of Physics: Conference Series,2023,6,Cell balancing & ECM;Digital twins
10.1109/tte.2025.3539853,Fast-Charging Protocols Design of Lithium-Ion Battery: A Multiple-Objective Bayesian Optimization Perspective,IEEE Transactions on Transportation Electrification,2025,6,Charging control
10.1016/j.ifacol.2023.10.1073,Bayesian Model Selection of Lithium-Ion Battery Models via Bayesian Quadrature,IFAC-PapersOnLine,2023,6,Charging control
